"","PLOT_ID","specie","G_sp","N_sp","sp_1","sp_2","sp_3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","SUM_DBH","SUM_H","BASAL_AREA","DENSITY","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","INVENTORY_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","Fecha_IFN2","Anyo_IFN2","EXEC_TIME"
"26678","9_1433","21",215012.694444444,785.164385920017,21,NA,NA,215012.694444444,NA,NA,785.164385920017,NA,NA,14312.9808710798,5796.77670505814,21.5012694444444,785.164385920017,0,127.323954473516,95.4929658551372,477.464829275686,84.8826363156775,0,0,0,0,18.2292792792793,7.38288288288288,18.6726868509659,7.66666666666667,1760,9,1433,NA,920224,2,25,5,1,1,"S",920304,2,239,1,"0239K06","470","4679",91,463,"4","4","0","0","12",12,4,4,9,1,"85",85,21,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,30,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,2,6,"G","16",NA,NA,NA,"1",1,1,NA,1,NA,0,0,NA,NA,"01",330,NA,"5.00",NA,"IFN2",30,463,21,"19920224",1992,11
"26679","9_1437","21",154845.166666667,325.383439210097,21,43,71,154845.166666667,16641,7569,325.383439210097,5.09295817894065,127.323954473516,9213.58575888522,5032.40856503547,17.9055166666667,457.800351862554,0,127.323954473516,63.6619772367581,63.6619772367581,113.176848420903,56.5884242104517,14.1471060526129,14.1471060526129,5.09295817894065,20.1257725587145,10.9925834363412,22.3156955024977,14.6358695652174,1764,9,1437,NA,920224,2,20,6,2,3,"S",920304,2,239,1,"0239K09","478","4679",91,307,"3","3","3","3","13",13,3,5,9,1,"50",70,21,0,7,1,4,NA,71,NA,2,NA,3,NA,NA,NA,NA,NA,NA,21,1,2,31,71,3,6,NA,NA,NA,NA,NA,21,71,43,78,57,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,2,NA,0,NA,0,0,NA,NA,"P714",50,NA,"8.25",NA,"IFN2",31,307,21,"19920224",1992,11
"26685","9_1438","21",278848.347222222,1004.44452973552,21,NA,NA,278848.347222222,NA,NA,1004.44452973552,NA,NA,18617.2378875873,8475.88491377172,27.8848347222222,1004.44452973552,0,0,445.633840657307,445.633840657307,113.176848420903,0,0,0,0,18.5348591549296,8.43838028169014,18.8007908321829,9.5,1765,9,1438,NA,920224,2,36,4,2,3,"S",920304,2,239,1,"0239K09","479","4679",91,303,"3","3","3","3","16",16,3,3,9,1,"55",70,21,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,35,NA,NA,NA,NA,NA,NA,NA,NA,21,78,NA,NA,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,NA,"01",260,NA,"3.75",NA,"IFN2",35,303,21,"19920224",1992,11
"26688","9_1443","21",122399.625,923.098669932993,21,NA,NA,122399.625,NA,NA,923.098669932993,NA,NA,11904.7897432738,6366.19772367581,12.2399625,923.098669932993,0,509.295817894065,413.802852038928,0,0,0,0,0,0,12.8965517241379,6.89655172413793,12.9933471040189,7.625,1770,9,1443,NA,920224,2,17,4,1,1,"S",920304,2,239,1,"0239K05","467","4678",91,463,"3","3","0","0","14",14,3,5,9,1,"40",50,21,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,30,NA,NA,NA,NA,NA,NA,NA,NA,21,15,NA,NA,NA,NA,NA,2,1,"W","19",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,NA,"01",269,NA,"10.50",NA,"IFN2",30,463,21,"19920224",1992,11
"26689","9_1444","21",49248.8125,572.957795130823,21,NA,NA,49248.8125,NA,NA,572.957795130823,NA,NA,5963.53571765332,2435.070629306,4.92488125,572.957795130823,0,509.295817894065,63.6619772367581,0,0,0,0,0,0,10.4083333333333,4.25,10.4614437605694,4.75,1771,9,1444,NA,920224,2,6,4,0,2,"S",920304,2,239,1,"0239K05","468","4678",91,463,"3","3","0","0","12",12,4,5,9,1,"60",40,21,0,9,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,25,NA,NA,NA,NA,NA,NA,NA,NA,21,43,15,NA,NA,NA,NA,2,2,"W","20",NA,NA,NA,"1",1,3,NA,0,NA,0,0,NA,NA,"01",273,NA,"14.25",NA,"IFN2",25,463,21,"19920224",1992,11
"26691","9_1446","21",72411.125,604.788783749202,21,NA,NA,72411.125,NA,NA,604.788783749202,NA,NA,7340.22597539821,3437.74677078494,7.2411125,604.788783749202,0,381.971863420549,190.985931710274,31.8309886183791,0,0,0,0,0,12.1368421052632,5.68421052631579,12.3468406357339,6.875,1773,9,1446,NA,920224,2,10,4,1,3,"S",920304,2,239,1,"0239K06","470","4678",91,346,"3","3","0","0","12",12,4,5,9,1,"40",40,21,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,25,NA,NA,NA,NA,NA,NA,NA,NA,21,43,NA,NA,NA,NA,NA,2,2,"W","20",NA,NA,NA,"1",1,1,1,3,NA,0,0,NA,NA,"M402",210,NA,"10.00",NA,"IFN2",25,346,21,"19920224",1992,11
"26692","9_1447","21",221777.118055556,923.098669932993,21,NA,NA,221777.118055556,NA,NA,923.098669932993,NA,NA,14454.9824480829,9333.55321821137,22.1777118055556,923.098669932993,0,381.971863420549,286.478897565412,127.323954473516,28.2942121052258,56.5884242104517,14.1471060526129,28.2942121052258,0,15.6591954022988,10.1111111111111,17.4899820806105,15.0625,1774,9,1447,NA,920224,2,25,4,3,1,"S",920304,2,239,1,"0239K06","471","4678",91,463,"3","3","0","0","11",12,2,4,9,1,"40",70,21,0,7,1,4,NA,21,NA,1,NA,4,NA,57,NA,1,NA,3,21,1,2,25,21,3,1,NA,57,3,6,NA,21,57,15,95,43,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,3,1,3,NA,0,0,NA,NA,"P702",380,NA,"4.50",NA,"IFN2",25,463,21,"19920224",1992,11
"26693","9_1448","21",195539.625,969.076764603985,21,43,NA,195539.625,34894.5,NA,969.076764603985,381.971863420549,NA,19136.7903573695,8507.71590239009,23.0434125,1351.04862802453,0,636.619772367581,477.464829275686,222.816920328653,14.1471060526129,0,0,0,0,14.1643979057592,6.29712041884817,14.7364530921867,8.5,1775,9,1448,NA,920224,2,28,6,2,2,"S",920304,2,239,1,"0239K07","472","4678",91,463,"6","6","3","3","11",11,2,3,9,1,"50",60,21,0,8,2,3,NA,43,NA,2,NA,2,NA,NA,NA,NA,NA,NA,21,1,2,25,43,3,6,NA,NA,NA,NA,NA,21,43,NA,NA,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,3,1,3,NA,0,0,NA,"P704","P203",92,NA,"3.75",NA,"IFN2",25,463,21,"19920224",1992,11
"26705","9_1457","21",29151.1875,286.478897565412,21,NA,NA,29151.1875,NA,NA,286.478897565412,NA,NA,3181.50731240699,1145.91559026165,2.91511875,286.478897565412,0,127.323954473516,159.154943091895,0,0,0,0,0,0,11.1055555555556,4,11.3824792261323,4.375,1784,9,1457,NA,920224,2,6,4,2,2,"S",920304,2,239,1,"0239L05","467","4677",91,177,"3","3","0","0","15",15,3,2,9,1,"45",50,21,0,7,1,2,NA,25,NA,3,NA,2,NA,NA,NA,NA,NA,NA,21,1,2,20,25,1,2,20,NA,NA,NA,NA,21,25,NA,NA,NA,NA,NA,2,1,"W","20",NA,NA,NA,"1",1,2,NA,2,NA,0,0,NA,NA,"G702",100,NA,"1.00",NA,"IFN2",20,177,21,"19920224",1992,11
"26706","9_1458","21",19489,254.647908947033,21,NA,NA,19489,NA,NA,254.647908947033,NA,NA,2508.28190312827,891.267681314614,1.9489,254.647908947033,0,254.647908947033,0,0,0,0,0,0,0,9.85,3.5,9.87142340293435,3.5,1785,9,1458,NA,920224,2,2,2,1,1,"S",920304,2,239,1,"0239L06","468","4677",91,177,"3","3","0","0","15",15,1,2,9,1,"45",45,21,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,20,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,2,1,"W","11",NA,NA,NA,"1",1,1,NA,2,NA,0,0,NA,NA,"M702",350,NA,"1.25",NA,"IFN2",20,177,21,"19920224",1992,11
"26707","9_1459","21",142048.125,969.076764603985,21,NA,NA,142048.125,NA,NA,969.076764603985,NA,NA,12552.0198451808,6017.82523713022,14.2048125,969.076764603985,0,541.126806512444,286.478897565412,127.323954473516,14.1471060526129,0,0,0,0,12.9525547445255,6.20985401459854,13.6613532635936,8.29032258064516,1786,9,1459,NA,920224,2,19,5,2,2,"S",920304,2,239,1,"0239L06","469","4677",91,177,"3","3","0","0","15",15,3,4,9,1,"40",75,21,0,9,1,3,NA,25,NA,1,NA,1,NA,NA,NA,NA,NA,NA,21,1,2,22,25,1,2,15,NA,NA,NA,NA,21,25,57,NA,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,2,NA,2,NA,0,0,NA,NA,"01",0,NA,"5.25",NA,"IFN2",22,177,21,"19920224",1992,11
"26709","9_1461","21",112675.125,700.281749604339,21,NA,NA,112675.125,NA,NA,700.281749604339,NA,NA,9870.78957055935,4488.16939519145,11.2675125,700.281749604339,0,127.323954473516,541.126806512444,31.8309886183791,0,0,0,0,0,14.0954545454545,6.40909090909091,14.3130661857047,7.375,1788,9,1461,NA,920224,2,19,4,1,1,"S",920304,2,239,1,"0239L07","471","4677",91,177,"3","3","0","0","12",12,4,5,9,1,"50",75,21,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,24,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,NA,"01",250,NA,"7.50",NA,"IFN2",24,177,21,"19920224",1992,11
"26711","9_1473","21",245490.895833333,972.613541117138,21,NA,NA,245490.895833333,NA,NA,972.613541117138,NA,NA,16750.7040827707,7720.7831282135,24.5490895833333,972.613541117138,0,254.647908947033,190.985931710274,413.802852038928,113.176848420903,0,0,0,0,17.2223636363636,7.93818181818182,17.9267927973745,9.4375,1800,9,1473,NA,920224,2,29,5,2,1,"S",920305,4,239,1,"0239L05","466","4676",91,177,"3","3","0","0","14",14,3,4,9,1,"20",80,21,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,1,32,NA,NA,NA,NA,NA,NA,NA,NA,21,15,NA,NA,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,NA,"M913",150,NA,"6.00",NA,"IFN2",32,177,21,"19920224",1992,11
"26712","9_1474","21",316273.229166667,1467.76225295859,21,NA,NA,316273.229166667,NA,NA,1467.76225295859,NA,NA,23572.0849436893,13512.2546685019,31.6273229166667,1467.76225295859,0,381.971863420549,572.957795130823,413.802852038928,99.0297423682904,0,0,0,0,16.0598795180723,9.20602409638554,16.5637405195807,10.8243243243243,1801,9,1474,NA,920224,2,41,4,1,1,"S",920305,4,239,1,"0239L05","467","4676",91,177,"3","3","0","0","14",14,2,3,9,1,"20",90,21,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,23,NA,NA,NA,NA,NA,NA,NA,NA,21,15,NA,NA,NA,NA,NA,3,2,"W","20",NA,NA,NA,"1",1,1,NA,2,NA,0,0,NA,NA,"01",140,NA,"3.75",NA,"IFN2",23,177,21,"19920224",1992,11
"26713","9_1475","21",62153.5,891.267681314614,21,NA,NA,62153.5,NA,NA,891.267681314614,NA,NA,8377.91620435737,4138.02852038928,6.21535,891.267681314614,0,891.267681314614,0,0,0,0,0,0,0,9.4,4.64285714285714,9.42288248285599,4.5,1802,9,1475,NA,920224,2,7,4,2,1,"S",920305,4,239,1,"0239L06","468","4676",91,177,"3","3","0","0","14",14,4,3,9,1,"65",60,21,0,8,1,2,NA,43,NA,2,NA,1,NA,NA,NA,NA,NA,NA,21,1,2,20,43,3,6,NA,NA,NA,NA,NA,21,43,NA,NA,NA,NA,NA,2,1,"W","20",NA,NA,NA,"1",1,3,NA,2,NA,0,0,NA,NA,"M203",40,NA,"4.00",NA,"IFN2",20,177,21,"19920224",1992,11
"26714","9_1476","21",78397.0625,700.281749604339,21,NA,NA,78397.0625,NA,NA,700.281749604339,NA,NA,8296.7471833805,3517.32424233089,7.83970625,700.281749604339,0,413.802852038928,286.478897565412,0,0,0,0,0,0,11.8477272727273,5.02272727272727,11.9390164434246,5.5,1803,9,1476,NA,920224,2,13,4,1,2,"S",920305,4,239,1,"0239L06","469","4676",91,177,"3","3","0","0","14",14,3,3,9,1,"70",70,21,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,20,NA,NA,NA,NA,NA,NA,NA,NA,21,43,NA,NA,NA,NA,NA,2,1,"W","20",NA,NA,NA,"1",1,1,NA,2,NA,0,0,NA,NA,"01",220,NA,"2.75",NA,"IFN2",20,177,21,"19920224",1992,11
"26715","9_1477","21",81945.6875,827.605704077856,21,43,NA,81945.6875,17378.75,NA,827.605704077856,190.985931710274,NA,11199.7333453767,4822.39477568443,9.93244375,1018.59163578813,0,795.774715459477,222.816920328653,0,0,0,0,0,0,10.9953125,4.734375,11.1425107976165,4.75,1804,9,1477,NA,920224,2,14,4,2,2,"S",920305,4,239,1,"0239L06","470","4676",91,177,"3","3","0","0","13",13,4,4,9,1,"60",60,21,0,6,2,2,NA,43,NA,4,NA,2,NA,NA,NA,NA,NA,NA,21,1,2,20,43,3,6,NA,NA,NA,NA,NA,21,43,NA,NA,NA,NA,NA,2,1,"W","20",NA,NA,NA,"1",1,2,NA,2,NA,0,0,NA,NA,"M203",0,NA,"5.75",NA,"IFN2",20,177,21,"19920224",1992,11
"26723","9_1488","21",476057.569444444,2656.11916137808,21,43,NA,476057.569444444,6400,NA,2656.11916137808,127.323954473516,NA,39966.6356315854,28163.7050518905,48.2457569444444,2783.44311585159,0,1145.91559026165,1018.59163578813,604.788783749202,14.1471060526129,0,0,0,0,14.3587039390089,10.1182973316391,14.8557111491982,11.1451612903226,1815,9,1488,NA,920225,0,61,6,4,1,"S",920305,4,239,1,"0239L05","467","4675",91,177,"3","3","0","0","13",13,4,5,9,1,"70",90,21,0,6,2,3,NA,43,NA,2,NA,2,NA,NA,NA,NA,NA,NA,21,1,2,31,43,3,6,NA,NA,NA,NA,NA,21,43,71,95,15,65,NA,3,3,"W","20",NA,NA,NA,"1",1,3,NA,0,NA,0,0,NA,"P413","G204",210,NA,"7.50",NA,"IFN2",31,177,21,"19920225",1992,11
"26727","9_1489","21",265505.652777778,763.943726841098,21,NA,NA,265505.652777778,NA,NA,763.943726841098,NA,NA,15502.0451348019,6903.7877536751,26.5505652777778,763.943726841098,0,0,318.309886183791,190.985931710274,169.765272631355,70.7355302630646,14.1471060526129,0,0,20.2921296296296,9.03703703703704,21.0359079028288,11.75,1816,9,1489,NA,920225,0,34,6,0,0,"S",920305,4,239,1,"0239L06","468","4675",91,177,"3","3","0","0","13",13,2,3,9,1,"60",80,21,0,0,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,30,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,3,2,"W","20",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,"G713","G413",100,NA,"2.50",NA,"IFN2",30,177,21,"19920225",1992,11
