"","INVENTORY_ID","PLOT_ID","TREE_ID","specie","dbh_1","dbh_2","dbh","height","expan","basal_area"
"482891","IFN2","25_982_IFN2","25_982_5_IFN2",21,148,151,14.95,8.5,31.8309886183791,175.538453014738
"482892","IFN2","25_982_IFN2","25_982_6_IFN2",21,87,93,9,7,127.323954473516,63.6172512351933
"482893","IFN2","25_982_IFN2","25_982_7_IFN2",21,123,121,12.2,8.5,127.323954473516,116.898662640076
"482894","IFN2","25_982_IFN2","25_982_8_IFN2",21,124,126,12.5,8.5,31.8309886183791,122.718463030851
"482895","IFN2","25_982_IFN2","25_982_9_IFN2",21,180,172,17.6,9,31.8309886183791,243.284935093994
"482896","IFN2","25_982_IFN2","25_982_10_IFN2",21,185,187,18.6,9,31.8309886183791,271.716348608981
"482897","IFN2","25_982_IFN2","25_982_11_IFN2",21,133,128,13.05,7,31.8309886183791,133.755270721994
"482898","IFN2","25_982_IFN2","25_982_12_IFN2",21,124,129,12.65,8,31.8309886183791,125.681377602268
"482899","IFN2","25_982_IFN2","25_982_13_IFN2",21,121,126,12.35,8.5,127.323954473516,119.790891376787
"482900","IFN2","25_982_IFN2","25_982_14_IFN2",21,228,222,22.5,8.5,14.1471060526129,397.607820219958
"482901","IFN2","25_982_IFN2","25_982_15_IFN2",21,133,134,13.35,8,31.8309886183791,139.975624176102
"482902","IFN2","25_982_IFN2","25_982_16_IFN2",21,167,170,16.85,9,31.8309886183791,222.992210047212
"482903","IFN2","25_982_IFN2","25_982_17_IFN2",21,154,152,15.3,8.5,31.8309886183791,183.853856069709
"482904","IFN2","25_982_IFN2","25_982_18_IFN2",21,167,170,16.85,8.5,31.8309886183791,222.992210047212
"482905","IFN2","25_982_IFN2","25_982_19_IFN2",21,216,220,21.8,9.5,31.8309886183791,373.252623173003
"482906","IFN2","25_982_IFN2","25_982_20_IFN2",21,152,173,16.25,9,31.8309886183791,207.394202522139
"482907","IFN2","25_982_IFN2","25_982_21_IFN2",21,172,165,16.85,9,31.8309886183791,222.992210047212
"482908","IFN2","25_982_IFN2","25_982_22_IFN2",21,122,129,12.55,9,31.8309886183791,123.702174230507
"482909","IFN2","25_982_IFN2","25_982_23_IFN2",21,171,176,17.35,8,31.8309886183791,236.422518641308
"482910","IFN2","25_982_IFN2","25_982_24_IFN2",21,153,154,15.35,9,31.8309886183791,185.057478755115
"482911","IFN2","25_982_IFN2","25_982_25_IFN2",21,165,158,16.15,9,31.8309886183791,204.849512472731
"482912","IFN2","25_982_IFN2","25_982_26_IFN2",21,138,141,13.95,8.5,31.8309886183791,152.840446092552
"482913","IFN2","25_982_IFN2","25_982_27_IFN2",21,210,195,20.25,10,31.8309886183791,322.062334378166
"482914","IFN2","25_982_IFN2","25_982_28_IFN2",21,177,166,17.15,10,31.8309886183791,231.003271313866
"482915","IFN2","25_982_IFN2","25_982_29_IFN2",21,135,127,13.1,10,31.8309886183791,134.782178820636
"482916","IFN2","25_982_IFN2","25_982_30_IFN2",21,157,162,15.95,9.5,31.8309886183791,199.807256263719
"482917","IFN2","25_982_IFN2","25_982_31_IFN2",21,94,94,9.4,9,127.323954473516,69.3977817177985
"482918","IFN2","25_982_IFN2","25_982_32_IFN2",21,125,125,12.5,8,31.8309886183791,122.718463030851
"482919","IFN2","25_982_IFN2","25_982_33_IFN2",21,133,133,13.3,8.5,31.8309886183791,138.929081123375
"482920","IFN2","25_982_IFN2","25_982_34_IFN2",21,211,208,20.95,9.5,31.8309886183791,344.713217410549
"482921","IFN2","25_982_IFN2","25_982_35_IFN2",21,152,153,15.25,10,31.8309886183791,182.654160375119
"482922","IFN2","25_982_IFN2","25_982_36_IFN2",21,84,86,8.5,10,127.323954473516,56.7450173054656
"482923","IFN2","25_982_IFN2","25_982_37_IFN2",21,155,154,15.45,10,31.8309886183791,187.476505098379
"482924","IFN2","25_982_IFN2","25_982_38_IFN2",21,137,133,13.5,10,31.8309886183791,143.138815279185
"482925","IFN2","25_982_IFN2","25_982_39_IFN2",21,164,156,16,10,31.8309886183791,201.061929829747
"482926","IFN2","25_982_IFN2","25_982_40_IFN2",21,138,137,13.75,10,31.8309886183791,148.48934026733
"482927","IFN2","25_982_IFN2","25_982_41_IFN2",21,163,180,17.15,9.5,31.8309886183791,231.003271313866
"482928","IFN2","25_982_IFN2","25_982_42_IFN2",21,122,132,12.7,10,31.8309886183791,126.676869774374
"482929","IFN2","25_982_IFN2","25_982_43_IFN2",21,132,133,13.25,9,31.8309886183791,137.886465061465
"482930","IFN2","25_982_IFN2","25_982_44_IFN2",21,149,145,14.7,9,31.8309886183791,169.716689128555
"482931","IFN2","25_982_IFN2","25_982_45_IFN2",21,154,152,15.3,10,31.8309886183791,183.853856069709
"482932","IFN2","25_982_IFN2","25_982_46_IFN2",21,185,202,19.35,10.5,31.8309886183791,294.070743834681
"482933","IFN2","25_982_IFN2","25_982_47_IFN2",21,144,142,14.3,10,31.8309886183791,160.606070433144
"482934","IFN2","25_982_IFN2","25_982_48_IFN2",21,157,152,15.45,9,31.8309886183791,187.476505098379
"482935","IFN2","25_982_IFN2","25_982_49_IFN2",21,177,173,17.5,10,31.8309886183791,240.528187540469
"482936","IFN2","25_982_IFN2","25_982_50_IFN2",21,104,104,10.4,7,127.323954473516,84.948665353068
"482937","IFN2","25_982_IFN2","25_982_51_IFN2",21,159,154,15.65,10.5,31.8309886183791,192.361681674712
"482938","IFN2","25_982_IFN2","25_982_52_IFN2",21,147,139,14.3,10.5,31.8309886183791,160.606070433144
"482939","IFN2","25_982_IFN2","25_982_53_IFN2",21,157,155,15.6,9,31.8309886183791,191.134497044403
"486554","IFN2","25_1160_IFN2","25_1160_1_IFN2",21,154,152,15.3,6,31.8309886183791,183.853856069709
"486555","IFN2","25_1160_IFN2","25_1160_2_IFN2",21,123,118,12.05,5.5,127.323954473516,114.041776820718
"486556","IFN2","25_1160_IFN2","25_1160_3_IFN2",21,136,138,13.7,6.5,31.8309886183791,147.411381288067
"486557","IFN2","25_1160_IFN2","25_1160_4_IFN2",21,115,114,11.45,6.5,127.323954473516,102.967662716814
"486558","IFN2","25_1160_IFN2","25_1160_5_IFN2",21,102,108,10.5,6,127.323954473516,86.5901475145687
"486559","IFN2","25_1160_IFN2","25_1160_6_IFN2",21,127,133,13,5.5,31.8309886183791,132.732289614169
"486560","IFN2","25_1160_IFN2","25_1160_7_IFN2",21,145,143,14.4,5.5,31.8309886183791,162.860163162095
"486561","IFN2","25_1160_IFN2","25_1160_8_IFN2",21,92,91,9.15,3.5,127.323954473516,65.7554977350429
"486588","IFN2","25_1177_IFN2","25_1177_1_IFN2",21,121,125,12.3,5,127.323954473516,118.8228881404
"486589","IFN2","25_1177_IFN2","25_1177_2_IFN2",21,82,77,7.95,4.5,127.323954473516,49.6391274221272
"486590","IFN2","25_1177_IFN2","25_1177_3_IFN2",21,96,96,9.6,4.5,127.323954473516,72.3822947387088
"486591","IFN2","25_1177_IFN2","25_1177_4_IFN2",21,143,138,14.05,5.5,31.8309886183791,155.039560950065
"486592","IFN2","25_1177_IFN2","25_1177_5_IFN2",21,91,90,9.05,4.5,127.323954473516,64.3260730776595
"486593","IFN2","25_1177_IFN2","25_1177_6_IFN2",21,76,74,7.5,4.5,127.323954473516,44.1786466911065
"486816","IFN2","25_1190_IFN2","25_1190_1_IFN2",21,196,199,19.75,9.5,31.8309886183791,306.354371110217
"486817","IFN2","25_1190_IFN2","25_1190_2_IFN2",21,138,141,13.95,9.5,31.8309886183791,152.840446092552
"486818","IFN2","25_1190_IFN2","25_1190_3_IFN2",21,153,161,15.7,9,31.8309886183791,193.592793295837
"486819","IFN2","25_1190_IFN2","25_1190_4_IFN2",21,234,232,23.3,11,14.1471060526129,426.384808926841
"486820","IFN2","25_1190_IFN2","25_1190_5_IFN2",21,170,175,17.25,10,31.8309886183791,233.705040995953
"486821","IFN2","25_1190_IFN2","25_1190_6_IFN2",21,299,282,29.05,10.5,14.1471060526129,662.799473586515
"486822","IFN2","25_1190_IFN2","25_1190_7_IFN2",21,254,259,25.65,11.5,14.1471060526129,516.731123157858
"486823","IFN2","25_1190_IFN2","25_1190_8_IFN2",21,169,159,16.4,9,31.8309886183791,211.240690027378
"486824","IFN2","25_1190_IFN2","25_1190_9_IFN2",21,229,233,23.1,11,14.1471060526129,419.096313970512
"486825","IFN2","25_1190_IFN2","25_1190_10_IFN2",21,210,208,20.9,10,31.8309886183791,343.069771753639
"486826","IFN2","25_1190_IFN2","25_1190_11_IFN2",21,140,144,14.2,10,31.8309886183791,158.367685667461
"486827","IFN2","25_1190_IFN2","25_1190_12_IFN2",21,167,172,16.95,9,31.8309886183791,225.646855839495
"486828","IFN2","25_1190_IFN2","25_1190_13_IFN2",21,161,161,16.1,10.5,31.8309886183791,203.583057934253
"486829","IFN2","25_1190_IFN2","25_1190_14_IFN2",21,118,118,11.8,11,127.323954473516,109.358840271461
"486830","IFN2","25_1190_IFN2","25_1190_15_IFN2",21,87,87,8.7,8.5,127.323954473516,59.4467869875528
"486831","IFN2","25_1190_IFN2","25_1190_16_IFN2",21,137,135,13.6,9.5,31.8309886183791,145.267244301992
