"","Provincia","Estadillo","TREE_ID_IFN2","rumbo","distancia","specie","dbh_1","dbh_2","height","quality","shape","special_param","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","dbh","expan","basal_area"
"482743",25,976,3,10," 8.0",21,164,175,7.5,2,2,"","IFN2","25_976","25_976_3","IFN2_25_976_3",16.95,31.8309886183791,225.646855839495
"482744",25,976,4,22," 6.5",21,146,146,7.5,2,2,"","IFN2","25_976","25_976_4","IFN2_25_976_4",14.6,31.8309886183791,167.4154725098
"482745",25,976,5,41," 5.7",21,170,171,8,2,2,"","IFN2","25_976","25_976_5","IFN2_25_976_5",17.05,31.8309886183791,228.317209595047
"482746",25,976,6,46," 1.3",21,121,127,7,2,5,"","IFN2","25_976","25_976_6","IFN2_25_976_6",12.4,127.323954473516,120.762821603992
"482747",25,976,7,55," 8.3",21,144,148,8,2,2,"","IFN2","25_976","25_976_7","IFN2_25_976_7",14.6,31.8309886183791,167.4154725098
"482748",25,976,8,69," 5.1",21,156,152,7.5,2,3,"1","IFN2","25_976","25_976_8","IFN2_25_976_8",15.4,31.8309886183791,186.265028431339
"482749",25,976,9,84," 8.1",21,153,153,8,2,2,"","IFN2","25_976","25_976_9","IFN2_25_976_9",15.3,31.8309886183791,183.853856069709
"482750",25,976,10,84," 1.0",21,79,81,6.5,3,5,"","IFN2","25_976","25_976_10","IFN2_25_976_10",8,127.323954473516,50.2654824574367
"482751",25,976,11,95," 5.4",21,158,158,7.5,2,2,"","IFN2","25_976","25_976_11","IFN2_25_976_11",15.8,31.8309886183791,196.066797510539
"482752",25,976,12,97," 8.5",21,146,141,8.5,2,2,"","IFN2","25_976","25_976_12","IFN2_25_976_12",14.35,31.8309886183791,161.731153302211
"482753",25,976,13,107," 9.2",21,158,153,8.5,2,2,"1","IFN2","25_976","25_976_13","IFN2_25_976_13",15.55,31.8309886183791,189.911239404911
"482754",25,976,14,113," 6.2",21,128,129,7.5,2,3,"","IFN2","25_976","25_976_14","IFN2_25_976_14",12.85,31.8309886183791,129.686908235595
"482755",25,976,15,119," 1.7",21,130,141,7,2,2,"","IFN2","25_976","25_976_15","IFN2_25_976_15",13.55,31.8309886183791,144.20106629518
"482756",25,976,16,124," 7.2",21,156,161,7.5,2,2,"1","IFN2","25_976","25_976_16","IFN2_25_976_16",15.85,31.8309886183791,197.309690104115
