,Provincia,Estadillo,Clase,Subclase,TREE_ID_IFN3_2,TREE_ID_IFN3,TREE_ID_IFN2,rumbo,distancia,DRed,specie,dbh_1,dbh_2,height,quality,shape,special_param,Agente,Import,Elemento,Compara,INVENTORY_ID,PLOT_ID,TREE_ID,IFN_TREE_ID,IFN3_ID,dbh,expan,basal_area
711371,25,647,A,1,32,32,12,331,7.4,NA,21,204,205,12,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_32,IFN3_25_647_12,25_647_A_1,20.45,31.8309886183791,328.455475428221
711372,25,647,A,1,33,33,0,347,14.6,NA,21,225,229,10,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_33,IFN3_25_647_0,25_647_A_1,22.7,14.1471060526129,404.707819617071
711373,25,647,A,1,34,34,13,358,6.8,NA,21,258,255,10.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_34,IFN3_25_647_13,25_647_A_1,25.65,14.1471060526129,516.731123157858
711374,25,647,A,1,35,35,0,377,12.5,NA,21,235,232,11,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_35,IFN3_25_647_0,25_647_A_1,23.35,14.1471060526129,428.216750142965
711375,25,647,A,1,36,36,14,382,9.5,NA,21,244,236,10.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_36,IFN3_25_647_14,25_647_A_1,24,14.1471060526129,452.38934211693
711376,25,647,A,1,37,37,15,394,9.6,NA,21,262,275,10.5,2,2,NA,100,NA,,X,IFN3,25_647,IFN3_25_647_A_1_37,IFN3_25_647_15,25_647_A_1,26.85,14.1471060526129,566.211207451897
719982,25,977,A,1,1,1,1,10,9.3,NA,21,216,223,8,2,2,NA,100,NA,,X,IFN3,25_977,IFN3_25_977_A_1_1,IFN3_25_977_1,25_977_A_1,21.95,31.8309886183791,378.406798620299
719983,25,977,A,1,2,2,2,44,6.6,NA,21,233,216,10,2,2,NA,100,NA,,X,IFN3,25_977,IFN3_25_977_A_1_2,IFN3_25_977_2,25_977_A_1,22.45,31.8309886183791,395.842637847722
719984,25,977,A,1,3,3,3,60,5.9,NA,21,191,194,8.5,2,2,NA,100,NA,,X,IFN3,25_977,IFN3_25_977_A_1_3,IFN3_25_977_3,25_977_A_1,19.25,31.8309886183791,291.039106923967
719985,25,977,A,1,4,4,0,75,5.7,NA,21,154,150,9,2,2,NA,100,NA,,X,IFN3,25_977,IFN3_25_977_A_1_4,IFN3_25_977_0,25_977_A_1,15.2,31.8309886183791,181.458391671346
719986,25,977,A,1,5,5,4,90,6.1,NA,21,209,208,8,2,2,NA,100,NA,,X,IFN3,25_977,IFN3_25_977_A_1_5,IFN3_25_977_4,25_977_A_1,20.85,31.8309886183791,341.430253087547
719987,25,977,A,1,6,6,5,173,0.7,NA,21,235,230,8.5,2,2,NA,100,NA,,X,IFN3,25_977,IFN3_25_977_A_1_6,IFN3_25_977_5,25_977_A_1,23.25,14.1471060526129,424.556794701533
719988,25,977,A,1,7,7,0,217,8.8,NA,21,189,177,7.5,2,2,NA,100,NA,,X,IFN3,25_977,IFN3_25_977_A_1_7,IFN3_25_977_0,25_977_A_1,18.3,31.8309886183791,263.021990940171
719989,25,977,A,1,8,8,0,219,9.5,NA,21,172,177,8,2,2,NA,100,NA,,X,IFN3,25_977,IFN3_25_977_A_1_8,IFN3_25_977_0,25_977_A_1,17.45,31.8309886183791,239.155704249931
719990,25,977,A,1,9,9,0,226,7.9,NA,21,164,161,8.5,2,2,NA,100,NA,,X,IFN3,25_977,IFN3_25_977_A_1_9,IFN3_25_977_0,25_977_A_1,16.25,31.8309886183791,207.394202522139
719991,25,977,A,1,10,10,0,240,5.8,NA,21,161,142,7.5,2,2,NA,100,NA,,X,IFN3,25_977,IFN3_25_977_A_1_10,IFN3_25_977_0,25_977_A_1,15.15,31.8309886183791,180.266549958391
719992,25,977,A,1,11,11,6,259,5,NA,21,193,200,7,2,2,NA,100,NA,,X,IFN3,25_977,IFN3_25_977_A_1_11,IFN3_25_977_6,25_977_A_1,19.65,31.8309886183791,303.259902346431
719993,25,977,A,1,12,12,0,260,11.2,NA,21,257,246,10,2,2,NA,100,NA,,X,IFN3,25_977,IFN3_25_977_A_1_12,IFN3_25_977_0,25_977_A_1,25.15,14.1471060526129,496.782009807562
