"","Provincia","Estadillo","Clase","Subclase","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","rumbo","distancia","DRed","specie","dbh_1","dbh_2","height","quality","shape","special_param","Agente","Import","Elemento","Compara","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","IFN3_ID","dbh","expan","basal_area"
"719928",25,976,"A","1",1,1,2,0,2.3,NA,21,205,193,10.8,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_1","IFN3_25_976_2","25_976_A_1",19.9,31.8309886183791,311.025526687023
"719929",25,976,"A","1",2,2,3,4,7.8,NA,21,214,222,11.9,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_2","IFN3_25_976_3","25_976_A_1",21.8,31.8309886183791,373.252623173003
"719930",25,976,"A","1",3,3,4,17,6.3,NA,21,178,187,11.8,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_3","IFN3_25_976_4","25_976_A_1",18.25,31.8309886183791,261.586675796563
"719931",25,976,"A","1",4,4,0,29,9.6,NA,21,144,149,10.5,2,2,42,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_4","IFN3_25_976_0","25_976_A_1",14.65,31.8309886183791,168.564117323769
"719932",25,976,"A","1",5,5,5,36,5.6,NA,21,219,218,12,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_5","IFN3_25_976_5","25_976_A_1",21.85,31.8309886183791,374.966754664618
"719933",25,976,"A","1",6,6,0,39,8.7,NA,21,157,157,11.3,2,2,42,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_6","IFN3_25_976_0","25_976_A_1",15.7,31.8309886183791,193.592793295837
"719934",25,976,"A","1",7,7,6,42,1.2,NA,21,153,164,10.8,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_7","IFN3_25_976_6","25_976_A_1",15.85,31.8309886183791,197.309690104115
"719935",25,976,"A","1",8,8,7,51,8.1,NA,21,173,178,11.4,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_8","IFN3_25_976_7","25_976_A_1",17.55,31.8309886183791,241.904597821823
"719936",25,976,"A","1",9,9,8,63,5,NA,21,197,195,11.3,2,2,41,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_9","IFN3_25_976_8","25_976_A_1",19.6,31.8309886183791,301.718558450764
"719937",25,976,"A","1",10,10,0,66,7.8,NA,21,142,142,11.2,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_10","IFN3_25_976_0","25_976_A_1",14.2,31.8309886183791,158.367685667461
"719938",25,976,"A","1",11,11,9,79,7.9,NA,21,195,194,11.2,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_11","IFN3_25_976_9","25_976_A_1",19.45,31.8309886183791,297.118088708663
"719939",25,976,"A","1",12,12,0,85,4.9,NA,21,100,99,11,3,3,42,316,1,"9","X","IFN3","25_976_A_1","IFN3_25_976_A_1_12","IFN3_25_976_0","25_976_A_1",9.95,127.323954473516,77.7563816717559
"719940",25,976,"A","1",13,13,11,90,5.3,NA,21,198,201,11,2,2,42,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_13","IFN3_25_976_11","25_976_A_1",19.95,31.8309886183791,312.590432527593
"719941",25,976,"A","1",14,14,10,90,0.8,NA,21,79,86,9.3,4,3,3030,316,3,"9","X","IFN3","25_976_A_1","IFN3_25_976_A_1_14","IFN3_25_976_10","25_976_A_1",8.25,127.323954473516,53.4561624962388
"719942",25,976,"A","1",15,15,12,93,8.4,NA,21,186,184,11.7,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_15","IFN3_25_976_12","25_976_A_1",18.5,31.8309886183791,268.802521422777
"719943",25,976,"A","1",16,16,0,98,12,NA,21,220,231,11.6,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_16","IFN3_25_976_0","25_976_A_1",22.55,14.1471060526129,399.376929583011
"719944",25,976,"A","1",17,17,13,103,9,NA,21,211,198,11.1,2,2,41,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_17","IFN3_25_976_13","25_976_A_1",20.45,31.8309886183791,328.455475428221
"719945",25,976,"A","1",18,18,14,107,6.1,NA,21,171,174,11.2,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_18","IFN3_25_976_14","25_976_A_1",17.25,31.8309886183791,233.705040995953
"719946",25,976,"A","1",19,19,15,115,1.7,NA,21,156,169,11.2,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_19","IFN3_25_976_15","25_976_A_1",16.25,31.8309886183791,207.394202522139
"719947",25,976,"A","1",20,20,16,120,7.1,NA,21,185,192,10.8,2,2,41,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_20","IFN3_25_976_16","25_976_A_1",18.85,31.8309886183791,279.06963891379
"719948",25,976,"A","1",21,888,17,129,8.3,NA,21,179,145,0,6,NA,NA,316,3,"9","X","IFN3","25_976_A_1","IFN3_25_976_A_1_21","IFN3_25_976_17","25_976_A_1",16.2,31.8309886183791,206.119894002026
"719949",25,976,"A","1",22,21,18,133,9.7,NA,21,168,164,10,2,2,NA,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_22","IFN3_25_976_18","25_976_A_1",16.6,31.8309886183791,216.424317905801
"719950",25,976,"A","1",23,22,19,139,3.2,NA,21,123,124,9.2,3,3,NA,316,2,"9","X","IFN3","25_976_A_1","IFN3_25_976_A_1_23","IFN3_25_976_19","25_976_A_1",12.35,127.323954473516,119.790891376787
"719951",25,976,"A","1",24,23,20,142,2.8,NA,21,105,105,9.4,3,3,NA,316,2,"9","X","IFN3","25_976_A_1","IFN3_25_976_A_1_24","IFN3_25_976_20","25_976_A_1",10.5,127.323954473516,86.5901475145687
"719952",25,976,"A","1",25,24,21,147,4.5,NA,21,101,109,9.6,3,3,NA,316,2,"9","X","IFN3","25_976_A_1","IFN3_25_976_A_1_25","IFN3_25_976_21","25_976_A_1",10.5,127.323954473516,86.5901475145687
"719953",25,976,"A","1",26,25,22,149,6.1,NA,21,236,222,11.6,2,2,41,100,NA,"","X","IFN3","25_976_A_1","IFN3_25_976_A_1_26","IFN3_25_976_22","25_976_A_1",22.9,14.1471060526129,411.870650867256
