"","INVENTORY_ID","PLOT_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","BASAL_AREA","DENSITY","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H"
"4238","IFN3","13_423_IFN3",25,63,26,9.12326666666667,519.906147433525,13.912925170068,5.58503401360544,14.9474726551183,8.16666666666667
"4239","IFN3","13_425_IFN3",25,63,26,17.7957909722222,526.979700459831,20.3305369127517,9.94630872483222,20.7356075257777,10.875
"42431","IFN3","13_425_IFN3",25,63,26,14.2485673611111,325.383439210097,23.016847826087,10.195652173913,23.6125525064438,10.1875
"4245","IFN3","13_428_IFN3",30,63,26,3.14182013888889,106.103295394597,18.6583333333333,6,19.4169620864508,6
"4246","IFN3","13_429_IFN3",25,63,26,4.87841875,286.478897565412,14.05,3.88888888888889,14.7247618354631,5
"4247","IFN3","13_430_IFN3",20,68,26,6.01083125,201.596261249734,19.1061403508772,6.79824561403509,19.4841332208652,7.21666666666667
"4248","IFN3","13_432_IFN3",30,68,26,26.5704819444444,767.480503354251,20.694930875576,9.87327188940092,20.9952523709484,10.9375
"4250","IFN3","13_434_IFN3",25,63,26,7.81140138888889,148.544613552436,24.9285714285714,8.13095238095238,25.8756389385111,8.57575757575758
"4252","IFN3","13_434_IFN3",25,63,26,19.1925152777778,378.435086907396,24.9177570093458,11.5934579439252,25.411207881195,12.0625
"4256","IFN3","13_435_IFN3",35,63,26,32.8309416666667,986.760647169751,20.3035842293907,9.36917562724014,20.5821537688222,9.75
"4257","IFN3","13_438_IFN3",25,63,26,28.8396798611111,1050.42262440651,17.8483164983165,9.86026936026936,18.6968413670432,12.1875
"4258","IFN3","13_441_IFN3",20,68,26,9.52306666666667,293.552450591718,20.1759036144578,8.30722891566265,20.3235989602923,8.87931034482759
"4260","IFN3","13_442_IFN3",36,68,26,27.1611506944444,933.708999472453,18.9429924242424,9.44886363636363,19.2452416885711,10.1875
"4262","IFN3","13_443_IFN3",36,68,26,10.90858125,233.427249868113,24.2901515151515,10.8333333333333,24.3928990226105,11.0625
"4263","IFN3","13_445_IFN3",31,68,26,9.48102777777778,279.405344539105,20.6443037974684,7.9620253164557,20.7857363459426,7.64705882352941
"4265","IFN3","13_445_IFN3",31,68,26,28.2717361111111,1588.0126544058,14.6066815144766,6.76948775055679,15.0558167140313,8.02857142857143
"4267","IFN3","13_448_IFN3",25,63,26,40.91539375,1241.40855611678,19.8633903133903,10.034188034188,20.4852401524259,12.3125
"4268","IFN3","13_453_IFN3",36,63,26,12.9743097222222,304.162780131178,23.1651162790698,9.01744186046512,23.3047342729945,9.75
"4269","IFN3","13_455_IFN3",30,63,26,24.9269465277778,626.009442828122,20.8104519774011,11.6158192090395,22.516410525167,15.0625
"4271","IFN3","13_459_IFN3",20,68,26,8.60686875,700.281749604339,12.2022727272727,6.90909090909091,12.5095372707096,7.875
"4274","IFN3","13_462_IFN3",30,68,26,16.9374361111111,544.663583025597,19.6233766233766,7.97402597402597,19.8982427599792,9.10810810810811
"4276","IFN3","13_463_IFN3",25,63,26,12.3517381944444,452.707393683613,18.365234375,8.1328125,18.6384719523557,9.82758620689655
"4278","IFN3","13_464_IFN3",30,63,26,38.0518638888889,1740.09404447139,16.2412601626016,9.125,16.6861700925564,10.4545454545455
"4279","IFN3","13_465_IFN3",25,63,26,26.9352931666667,510.851999559853,25.5100803101634,11.566186651897,25.9100567324379,12.4701086956522
"4281","IFN3","13_466_IFN3",40,63,26,38.5766583333333,756.870173814791,25.1682242990654,12.4836448598131,25.4745585013975,13.5
"4282","IFN3","13_467_IFN3",31,63,26,18.6232701388889,806.385044998936,16.9120614035088,8.90131578947368,17.1479338047454,10.2
"4284","IFN3","13_467_IFN3",31,63,26,19.3189409722222,1039.81229486705,14.7712585034014,8.14285714285714,15.3804571090834,9.95454545454546
"4286","IFN3","13_472_IFN3",25,63,26,19.5459597222222,484.538382301992,22.3583941605839,9.59489051094891,22.6631079036838,10.1875
"4288","IFN3","13_473_IFN3",35,63,26,21.94765625,498.685488354605,23.1769503546099,9.93617021276596,23.6720445143499,10.6875
"4289","IFN3","13_475_IFN3",40,63,26,22.8812166666667,753.333397301638,19.1737089201878,9.10328638497653,19.6653194414023,10.375
"4290","IFN3","13_479_IFN3",36,68,26,11.34775,827.605704077856,12.6307692307692,5.57692307692308,13.2129016204151,7.75
"4296","IFN3","13_479_IFN3",36,68,26,18.3317534722222,887.730904801461,15.2659362549801,8.99003984063745,16.2149791183574,12.3125
"4298","IFN3","13_48_IFN3",35,17,26,1.12133125,63.6619772367581,14.975,6.75,14.9755216937508,6.75
"4300","IFN3","13_482_IFN3",15,63,26,5.99780625,286.478897565412,16.2388888888889,4.05555555555556,16.3269460300041,4.5
"4301","IFN3","13_482_IFN3",15,63,26,2.969725,91.956189341984,20.1115384615385,5.88461538461539,20.2778867811144,5.88461538461539
"4302","IFN3","13_489_IFN3",35,63,26,28.8505854166667,845.289586643622,20.2700836820084,8.88702928870293,20.846330311297,10.125
"4303","IFN3","13_499_IFN3",41,63,26,40.1326291666667,1386.41639315607,18.7114795918367,9.53316326530612,19.1980457790551,11.125
"4310","IFN3","13_54_IFN3",35,60,26,57.8637069444444,2886.00963473304,15.6302696078431,13.8872549019608,15.9775173305811,15.3030303030303
"4312","IFN3","13_541_IFN3",36,63,26,3.014075,74.2723067762178,22.2904761904762,7.92857142857143,22.731004628669,7.92857142857143
"4314","IFN3","13_542_IFN3",35,63,26,5.52995486111111,205.133037762887,18.4336206896552,6.69827586206897,18.5266990472185,6.87096774193548
"4317","IFN3","13_544_IFN3",41,40,26,2.11313125,286.478897565412,9.57222222222222,3.66666666666667,9.691075505043,3.8
"4321","IFN3","13_546_IFN3",40,63,26,13.0007673611111,873.583798748848,13.1755060728745,5.23279352226721,13.7653502832675,6.41935483870968
"4323","IFN3","13_555_IFN3",51,56,26,8.57035416666667,261.721461973339,20.0418918918919,6.24324324324324,20.4190143897459,6.93103448275862
"4335","IFN3","13_57_IFN3",30,60,26,29.7720291666667,1534.9610067085,15.0741935483871,7.67511520737327,15.7148631544514,9.3448275862069
"4347","IFN3","13_58_IFN3",36,60,26,9.82271891666667,158.730529910317,26.1711675579323,9.45588235294118,28.0698883089895,10.4481605351171
"4348","IFN3","13_6_IFN3",30,17,26,13.95365625,555.273912565057,17.7162420382166,9.21019108280255,17.8873264923684,9.91935483870968
"4350","IFN3","13_61_IFN3",31,60,26,23.4206465277778,887.730904801461,17.5344621513944,10.5258964143426,18.32794738585,13.9375
"4352","IFN3","13_624_IFN3",36,73,26,12.3954444444444,357.214427828476,20.3613861386139,7.65346534653465,21.0194629280146,10.051724137931
"4356","IFN3","13_624_IFN3",36,73,26,10.5400923611111,339.53054526271,19.1890625,6.20833333333333,19.880982459166,7.56060606060606
"4367","IFN3","13_627_IFN3",31,73,26,4.70920069444444,120.25040144721,21.9779411764706,8.04411764705882,22.32982870512,8.04411764705882
"4370","IFN3","13_628_IFN3",36,73,26,16.9287395833333,555.273912565057,19.2334394904459,8.04458598726115,19.702155221756,8.625
"4372","IFN3","13_639_IFN3",36,73,26,12.4657368055556,332.456992236404,21.3122340425532,9.07446808510638,21.8497413442016,10.1875
"4389","IFN3","13_684_IFN3",30,11,26,37.9863430555556,1580.93910137949,16.8165548098434,8.69351230425056,17.4908627472191,10.5
"4391","IFN3","13_684_IFN3",30,11,26,34.0583173611111,1598.62298394526,15.6383849557522,8.35287610619469,16.4700010544782,10.4375
"4401","IFN3","13_685_IFN3",30,11,26,13.4089458333333,339.53054526271,22.1833333333333,9.35416666666667,22.4239931490803,9.9375
"4402","IFN3","13_686_IFN3",35,11,26,15.69745,396.118969473162,22.1401785714286,10.3571428571429,22.4624329238207,11.25
"4403","IFN3","13_687_IFN3",25,11,26,8.88358333333333,173.302049144508,25.3571428571429,10.6530612244898,25.5474348726331,11.25
"4409","IFN3","13_692_IFN3",26,11,26,16.02835225,512.40818122564,18.8756350082827,8.84055770292656,19.9568260016099,9.10574837310195
"4412","IFN3","13_694_IFN3",30,11,26,23.6908861111111,870.047022235694,17.9934959349594,11.0345528455285,18.6197715965836,11.9375
"4413","IFN3","13_695_IFN3",35,11,26,22.3302465277778,707.355302630646,19.47325,10.55,20.0485520050701,11.8125
"4414","IFN3","13_696_IFN3",35,11,26,8.86136597222222,297.089227104871,19.3077380952381,7.49404761904762,19.4877609637678,7.63333333333333
"4418","IFN3","13_696_IFN3",35,11,26,33.1502909722222,1135.30526072219,18.5017133956386,8.42990654205608,19.2815705837065,9.375
"4420","IFN3","13_698_IFN3",30,11,26,39.8662833333333,1372.26928710345,18.319587628866,11.8917525773196,19.2326116405304,13.9375
"4422","IFN3","13_706_IFN3",30,11,26,10.9803215277778,809.92182151209,12.2569868995633,5.83842794759825,13.1383563773001,7.41935483870968
"4426","IFN3","13_706_IFN3",30,11,26,9.79528888888889,424.413181578388,16.4816666666667,7.4375,17.1423063403577,8.45
"4428","IFN3","13_707_IFN3",35,11,26,18.8460875,799.31149197263,16.7004424778761,6.69026548672566,17.3263719144203,8.63513513513514
"4429","IFN3","13_712_IFN3",30,11,26,37.6075631944444,1234.33500309048,19.0047277936963,10.3352435530086,19.6959137544985,11.75
"4432","IFN3","13_718_IFN3",30,73,26,17.0230791666667,788.70116243317,16.1121076233184,7.67937219730942,16.5774557866623,9.60294117647059
"4434","IFN3","13_719_IFN3",35,73,26,25.312875,590.641677696589,23.1658682634731,10.7784431137725,23.3595112634461,11
"4449","IFN3","13_751_IFN3",25,25,26,14.7446631944444,565.884242104517,17.6203125,7.503125,18.2141407119578,9.36764705882353
"4452","IFN3","13_779_IFN3",36,1,26,34.8413784722222,976.150317630291,20.9501811594203,11.588768115942,21.3178977078219,12.4375
"4453","IFN3","13_780_IFN3",36,1,26,21.8001395833333,696.744973091186,19.657614213198,10.5685279187817,19.9594134502792,10.125
"4471","IFN3","13_95_IFN3",36,72,26,15.15640625,608.325560262355,17.2223837209302,12.1860465116279,17.8108704885005,14.4459459459459
"4473","IFN3","13_95_IFN3",36,72,26,11.0221868055556,300.626003618025,20.9547058823529,12.7647058823529,21.6060646442559,14.625
"4479","IFN3","13_951_IFN3",35,11,26,23.9252519166667,832.698662256796,17.5518433571186,8.93229697587496,19.126670907667,11.5326086956522
"4481","IFN3","13_951_IFN3",35,11,26,34.2958388888889,993.834200196058,20.4946619217082,11.8345195729537,20.9613285689067,13
"4562","IFN3","14_1272_IFN3",35,73,26,10.017525,258.184685460186,20.9041095890411,7.43013698630137,22.2264466684814,9.6
"4578","IFN3","14_342_IFN3",30,9,26,10.0638875,700.281749604339,13.0636363636364,5.40909090909091,13.5270016162959,6.6
"4587","IFN3","14_355_IFN3",31,9,26,2.0164,5.09295817894065,71,12.6,71,12.6
"4594","IFN3","14_377_IFN3",30,9,26,21.5796944444444,626.009442828122,20.4694915254237,8.22203389830508,20.9501560745504,9.1
"4596","IFN3","14_378_IFN3",30,26,26,27.5546923611111,2019.49938901049,12.7969352014011,6.15866900175131,13.1804725073359,7.18064516129032
"4598","IFN3","14_381_IFN3",30,26,26,10.2878729166667,215.743367302347,24.4745901639344,11.1032786885246,24.6404779932879,11.0625
"4602","IFN3","14_401_IFN3",35,26,26,34.3962590277778,1651.67463164256,15.9885438972163,9.49079229122056,16.283524634372,10.2514285714286
"4623","IFN3","14_582_IFN3",40,16,26,12.8714486111111,205.133037762887,27.6120689655172,12.3827586206897,28.2651286924366,12.4
"4627","IFN3","14_584_IFN3",36,16,26,16.8384536388889,1395.04612784816,10.7112818172599,5.90489808335869,12.3968651783783,7.83763066202091
"4630","IFN3","14_586_IFN3",38,16,26,15.0862118055556,247.574355920726,27.2421428571429,11.79,27.8543052584079,12.15
"4633","IFN3","14_587_IFN3",35,16,26,9.62275,155.618166578742,27.6636363636364,10.4636363636364,28.0591501847599,10.5375
"4636","IFN3","14_596_IFN3",37,16,26,14.8818562222222,224.373101994441,28.4786254728878,9.92068095838588,29.0601743398208,10.8005434782609
"4660","IFN3","14_622_IFN3",36,16,26,9.18614380555556,130.436317805091,27.539967462039,12.0861171366594,29.9448687658053,12.0861171366594
"4664","IFN3","14_622_IFN3",36,16,26,10.3105041666667,254.647908947033,22.1819444444444,10.6486111111111,22.7051802092239,12.0375
"4725","IFN3","14_717_IFN3",35,26,26,34.8357666666667,1099.93749559065,19.2971061093248,9.67459807073955,20.0809263054814,12.0375
"4731","IFN3","14_729_IFN3",40,26,26,23.0511159722222,459.78094670992,24.3973076923077,12.4984615384615,25.2653635666271,15.7125
"4732","IFN3","14_730_IFN3",40,26,26,6.71788680555556,180.375602170815,21.4598039215686,8.86666666666667,21.7762203908255,9.58484848484848
"4737","IFN3","14_732_IFN3",35,71,26,0.76125625,31.8309886183791,17.45,4.8,17.45,4.8
"4742","IFN3","14_737_IFN3",40,26,26,4.09193125,141.471060526129,19.08375,10.23,19.1904614978379,9.91935483870968
"4757","IFN3","14_750_IFN3",35,71,26,17.0639069444444,834.679257104162,15.4707627118644,7.25550847457627,16.1337189015187,8.58275862068966
"4760","IFN3","14_758_IFN3",30,71,26,0.8326625,63.6619772367581,12.9,5.45,12.9047471885349,5.45
"4762","IFN3","14_758_IFN3",30,71,26,4.47944861111111,141.471060526129,19.7875,7.2725,20.078604906716,7.72903225806452
"4780","IFN3","14_788_IFN3",40,26,26,8.10632183333333,139.490465678763,25.3212981744422,10.5372210953347,27.2016167973423,12.1448094612352
"4855","IFN3","15_1004_IFN3",13,5,26,20.7120364444444,1014.6304460934,14.8219325153374,11.7912716118238,16.1217623545511,16.8290155440415
