"","INVENTORY_ID","PLOT_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","BASAL_AREA","DENSITY","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H"
"9073","IFN3","15_984_IFN3",15,5,26,5.94227569444444,300.626003618025,14.9358823529412,9.23647058823529,15.8642003561849,10.258064516129
"37121","IFN3","27_1278_IFN3",6,20,26,1.4383125,63.6619772367581,16.95,9.25,16.9606161444683,9.25
"37792","IFN3","27_186_IFN3",5,66,26,2.4817625,222.816920328653,11.7571428571429,7.71428571428571,11.908610330345,7.71428571428571
"37818","IFN3","27_1881_IFN3",31,32,26,39.3231229166667,799.31149197263,24.5263274336283,16.3805309734513,25.0277052236329,17.75
"38042","IFN3","27_2058_IFN3",15,36,26,49.2051076388889,2680.87659697015,14.6954485488127,10.05672823219,15.286981523169,11.6379310344828
"38562","IFN3","27_256_IFN3",3,13,26,9.04774147222222,221.968093965497,19.0337476099426,13.8878266411727,22.7813719215596,13.8878266411727
"38584","IFN3","27_258_IFN3",8,19,26,24.579225,2291.83118052329,11.3722222222222,12.9930555555556,11.685514537238,15
"38797","IFN3","27_2788_IFN3",8,50,26,1.4321,254.647908947033,8.45,5,8.46197376502669,5
"38814","IFN3","27_2802_IFN3",3,50,26,1.1552,254.647908947033,7.6,5,7.6,5.5
"38826","IFN3","27_2813_IFN3",6,47,26,0.7225,127.323954473516,8.5,4,8.5,4
"38827","IFN3","27_2814_IFN3",8,50,26,2.777975,509.295817894065,8.3125,4.875,8.33362916141581,5
"38835","IFN3","27_2825_IFN3",8,47,26,1.569625,141.471060526129,10.125,6.25,11.8855479469817,6.25
"38865","IFN3","27_286_IFN3",10,19,26,18.6977861111111,1206.04079098525,13.4231671554252,15.024926686217,14.0497680551919,20
"38867","IFN3","27_2866_IFN3",20,52,26,44.9481034722222,2620.75139624654,14.1605263157895,7.28070175438596,14.7773933053663,8.23333333333333
"38923","IFN3","27_294_IFN3",3,19,26,11.3308777777778,367.824757367936,15.8307692307692,12.2307692307692,19.8046129047677,18.375
"38965","IFN3","27_326_IFN3",6,19,26,15.35950625,1718.87338539247,10.3824074074074,13.4166666666667,10.6664952243167,16.125
"38992","IFN3","27_352_IFN3",5,2,26,3.413777,142.602829010338,11.9910714285714,5.33928571428572,17.4585657445605,5.33928571428572
"39050","IFN3","27_400_IFN3",10,5,26,11.75350625,891.267681314614,12.7446428571429,12.1607142857143,12.9579023048816,14.25
"39073","IFN3","27_423_IFN3",10,27,26,14.185825,1305.07053335354,11.6439024390244,12.3048780487805,11.7642803725059,12.75
"39325","IFN3","27_673_IFN3",10,27,26,15.0935,1018.59163578813,13.51875,15.671875,13.7356743554876,18
"44931","IFN3","32_110_IFN3",6,87,26,4.44243125,541.126806512444,9.98529411764706,7.41176470588235,10.2238835144796,8.4
"45184","IFN3","32_1336_IFN3",41,39,26,58.7159166944444,1165.1556544932,24.5274951432734,13.8230330257406,25.330339379231,16.6902173913043
